condition,time,fullness_0_10,headache_1_5,nausea_1_5,appetite_0_10
固形,8:00,1.67,1,1,7.67
固形,8:30,4.00,1,1,8.00
固形,9:00,4.00,1,1,7.00
固形,9:30,2.00,1,1,7.67
固形,10:00,2.00,1,1,7.67
スムージー,8:00,3.33,1,1,8.67
スムージー,8:30,3.67,1,1,6.33
スムージー,9:00,5.00,1,1,5.50
スムージー,9:30,2.00,1,1,7.67
スムージー,10:00,1.33,1,1,8.67
おにぎり＋スムージー,8:00,2.33,1,1,7.00
おにぎり＋スムージー,8:30,7.67,1,1,3.67
おにぎり＋スムージー,9:00,5.33,1,1,5.33
おにぎり＋スムージー,9:30,5.50,1,2,5.50
おにぎり＋スムージー,10:00,3.33,1,1,5.67
おにぎり＋糖質減,8:00,1.67,1,1,9.00
おにぎり＋糖質減,8:30,9.00,1,1,3.33
おにぎり＋糖質減,9:00,8.00,1,1,3.00
おにぎり＋糖質減,9:30,5.50,1,1,4.50
おにぎり＋糖質減,10:00,4.67,1,1,5.33
