day,condition,起床時コンディション,睡眠の質,睡眠時間,時間_分,RPE,爆発力,持久力,運動後疲労,体重_kg
DAY1,固形,2,2,7,180,7.0,4.0,3.0,4.0,63.4
DAY2,固形,2,1,7,120,6.0,4.0,3.0,3.0,63.2
DAY3,固形,2,3,7,120,7.0,4.0,3.0,3.0,63.4
DAY4,スムージー,2,1,7,60,5.0,4.0,4.0,2.0,62.8
DAY5,スムージー,2,2,7,60,5.0,3.0,3.0,3.0,62.8
DAY6,スムージー,3,3,7,60,7.0,4.0,4.0,3.0,62.6
DAY7,調整日,3,1,7,60,6.0,4.0,4.0,3.0,62.9
DAY8,おにぎり+スムージー,2,2,7,60,5.0,3.0,4.0,3.0,63.0
DAY9,おにぎり+スムージー,3,2,7,60,5.0,4.0,4.0,3.0,62.4
DAY10,おにぎり+スムージー,2,2,7,120,6.5,3.5,3.5,3.5,63.0
DAY11,おにぎり+糖質減,3,3,7,120,8.0,4.0,3.0,3.0,62.1
DAY12,おにぎり+糖質減,3,3,6,120,6.0,3.0,2.0,3.0,62.8
DAY13,おにぎり+糖質減,2,2,7,60,5.0,3.0,2.0,4.0,62.6
DAY14,予備日,2,2,7,120,7.0,3.0,1.0,5.0,63.4
